kod_kreskowy,nazwa_produktu,opis,cena
,Taœma woskowo-¿ywiczna,"80,00",PP-203
,Przesy³ka kurierska GLS,"17,00",PPG
,Przesy³ka kurierska Litwa,"131,25",PPG_LITWA
,Przesy³ka kurierska Niemcy,"112,50",PPG_NIEMCY
,Przesy³ka kurierska GLS POBRANIE,"19,50",PPG+
,Prowizja. Dzia³ania marketingowe - 2024/ Marketing support -2024/ Marketingunterstuetzung 2024,"0,00",PROWIZJA
,Prowizja kwartalna I kw. 2025/Commission statement 1. Qu. 2025/ Marketingunterstuetzung 1. Qu. 2025,"0,00",PROWIZJA KW
,Prowizja miesiêczna za lipiec 2019/Commission statement July 2019/ Marketingunterstuetzung Juli 2019,"0,00",PROWIZJA MIESIÊCZNA
,Prowizja. Dzia³ania marketingowe/ Marketing support / Marketingunterstuetzung,"0,00",PROWIZJA NIEOKR.
5902487901564,Ig³a do quillingu jednostronna,"7,50",QL-IG£A
5902487901571,Ig³a do quillingu dwustronna,"8,50",QL-IG£A-2
5902487908532,Zestaw do quillingu,"33,15",QL-SET
,Taœma perforowana - holograficzna,"1,40",TAŒMA PERFOROWANA
,Us³uga transportowa,"26,70",TRANSPORT
,Us³uga transportowa krajowa,"1,00",TRANSPORT KRAJ
,Przesy³ka kurierska UPS,"9,75",UPS ALLEGRO
,Warsztaty,"40,65",Warsztaty
,Zadruk etykiet czarno-bia³y,"0,49",Zadruk-cz.b.
,Zadruk etykiet + przyciêcie,"30,00",Zadruk-kolor
5902487909058,Zestaw naklejek a¿urowych Bo¿e Narodzenie - Z³ote,"26,02",Z-A¯UR
5902487909140,Zestaw naklejek a¿urowych Wielkanoc - Z³ote,"26,02",Z-A¯UR-1
5902487909157,"Zestaw naklejek a¿urowych Kwiaty, motyle - Z³ote","26,02",Z-A¯UR-2
5902487910597,"Zestaw naklejek a¿urowych Szlaczki, naro¿niki - Z³ote","26,02",Z-A¯UR-3
5902487910603,Zestaw naklejek a¿urowych Ró¿ne motywy - Z³ote,"26,02",Z-A¯UR-4
5902487908334,"Zestaw kreatywny/plastyczny Bo¿e Narodzenie, srebrny","78,04",ZS-1
5902487908556,Zestaw kreatywny z choink¹ MDF,"81,29",ZS-10
5902487908570,Zestaw kreatywny filcowy,"39,84",ZS-11
5902487908587,"Zestaw kreatywny dla dzieci BN, prezentowy","96,75",ZS-12
5902487909270,"Zestaw kreatywny, Kartki/Ozdoby wielkanocne","34,14",ZS-14
5902487909287,Zestaw kreatywny/plastyczny dla dzieci kolorowy,"69,91",ZS-15
5902487909300,"Zestaw kreatywny/plastyczny dla dzieci, ró¿owy","69,91",ZS-16
5902487908341,"Zestaw kreatywny/plastyczny Bo¿e Narodzenie, z³oty","78,04",ZS-2
5902487908549,Zestaw do decoupage z ramk¹ na zdjêcie,"44,71",ZS-9
